Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2010								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	231	--	--	26	257	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	73	4	--	--	77	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	21	--	--	--	21	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	16	--	--	--	16	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	94	--	--	6	100	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	17	--	--	--	17	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	3	--	--	--	3	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	341	--	16	72	429	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	532	15	52	97	696	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	62	--	--	8	70	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	7	--	--	--	7	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	32	--	--	--	32	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	18	--	--	--	18	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,447	19	68	209	1,743	
Nfld.Lab./T.-N.-L.	Total	Total	1,447	19	68	209	1,743	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	15	--	--	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	7	--	--	--	7	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	3	2	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	26	--	--	--	26	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	9	--	--	--	9	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	82	14	--	169	265	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	59	13	39	26	137	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	40	4	--	12	56	
P.E.I./Î.-P.-É.	Charlottetown	Total	256	33	39	207	535	
P.E.I./Î.-P.-É.	Total	Total	256	33	39	207	535	
N.S./N.-É.	Halifax	Halifax (RGM)	996	129	161	712	1,998	
N.S./N.-É.	Halifax	Total	996	129	161	712	1,998	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	149	54	4	6	213	
N.S./N.-É.	Cape Breton	Total	149	54	4	6	213	
N.S./N.-É.	Total	Total	1,145	183	165	718	2,211	
N.B./N.-B.	Moncton	Elgin (P)	2	--	--	--	2	
N.B./N.-B.	Moncton	Hillsborough (P)	4	--	--	--	4	
N.B./N.-B.	Moncton	Coverdale (P)	16	--	--	--	16	
N.B./N.-B.	Moncton	Riverview (T)	48	39	12	42	141	
N.B./N.-B.	Moncton	Hillsborough (VL)	2	--	--	--	2	
N.B./N.-B.	Moncton	Dorchester (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Dorchester (VL)	1	--	--	--	1	
N.B./N.-B.	Moncton	Memramcook (VL)	22	--	--	--	22	
N.B./N.-B.	Moncton	Moncton (P)	69	4	--	2	75	
N.B./N.-B.	Moncton	Moncton (CY)	98	159	9	46	312	
N.B./N.-B.	Moncton	Salisbury (VL)	8	--	--	4	12	
N.B./N.-B.	Moncton	Dieppe (CY)	164	171	12	37	384	
N.B./N.-B.	Moncton	Saint Paul (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Total	435	373	33	131	972	
N.B./N.-B.	Saint John	Saint Martins (P)	5	--	--	--	5	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	22	--	--	--	22	
N.B./N.-B.	Saint John	Saint John (CY)	98	24	9	37	168	
N.B./N.-B.	Saint John	Musquash (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Lepreau (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Petersville (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Upham (P)	11	--	--	--	11	
N.B./N.-B.	Saint John	Hampton (P)	14	--	--	--	14	
N.B./N.-B.	Saint John	Hampton (T)	15	2	4	--	21	
N.B./N.-B.	Saint John	Rothesay (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Westfield (P)	11	--	--	--	11	
N.B./N.-B.	Saint John	Kingston (P)	13	--	--	--	13	
N.B./N.-B.	Saint John	Grand Bay-Westfield (T)	11	--	--	--	11	
N.B./N.-B.	Saint John	Greenwich (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Rothesay (T)	19	5	--	7	31	
N.B./N.-B.	Saint John	Quispamsis (T)	143	2	10	50	205	
N.B./N.-B.	Saint John	Total	372	33	23	94	522	
N.B./N.-B.	Fredericton	Lincoln (P)	97	--	--	--	97	
N.B./N.-B.	Fredericton	Maugerville (P)	8	--	--	--	8	
N.B./N.-B.	Fredericton	New Maryland (P)	20	--	--	--	20	
N.B./N.-B.	Fredericton	New Maryland (VL)	4	--	--	--	4	
N.B./N.-B.	Fredericton	Kingsclear (P)	33	--	--	--	33	
N.B./N.-B.	Fredericton	Bright (P)	9	--	--	--	9	
N.B./N.-B.	Fredericton	Douglas (P)	33	--	--	--	33	
N.B./N.-B.	Fredericton	Saint Marys (P)	35	--	--	--	35	
N.B./N.-B.	Fredericton	Fredericton (CY)	137	17	83	261	498	
N.B./N.-B.	Fredericton	Total	376	17	83	261	737	
N.B./N.-B.	Total	Total	1,183	423	139	486	2,231	
Que/Qc	Saguenay	Saguenay (V)	301	42	4	476	823	
Que/Qc	Saguenay	Saint-Fulgence (MÉ)	9	--	--	--	9	
Que/Qc	Saguenay	Saint-Honoré (MÉ)	53	--	--	14	67	
Que/Qc	Saguenay	Larouche (MÉ)	10	--	--	--	10	
Que/Qc	Saguenay	Total	373	42	4	490	909	
Que/Qc	Montréal	Lavaltrie (V)	45	--	--	42	87	
Que/Qc	Montréal	Richelieu (V)	16	--	--	2	18	
