Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2016								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	172	1	1	2	176	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	58	--	--	2	60	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	8	--	--	--	8	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	20	--	--	--	20	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	40	--	--	9	49	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	24	--	--	--	24	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	5	--	--	--	5	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	130	31	--	38	199	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	237	7	8	187	439	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	52	2	1	26	81	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	5	--	--	--	5	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	6	--	--	--	6	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	17	--	--	--	17	
Nfld.Lab./T.-N.-L.	St. John's	Total	774	41	10	264	1,089	
Nfld.Lab./T.-N.-L.	Total	Total	774	41	10	264	1,089	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	12	--	--	--	12	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 23 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	4	2	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	22	--	--	--	22	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	38	12	13	116	179	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	31	4	19	24	78	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	16	10	26	12	64	
P.E.I./Î.-P.-É.	Charlottetown	Total	138	28	58	152	376	
P.E.I./Î.-P.-É.	Total	Total	138	28	58	152	376	
N.S./N.-É.	Halifax	Halifax (RGM)	502	76	133	936	1,647	
N.S./N.-É.	Halifax	Total	502	76	133	936	1,647	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	95	72	9	4	180	
N.S./N.-É.	Cape Breton	Total	95	72	9	4	180	
N.S./N.-É.	Total	Total	597	148	142	940	1,827	
N.B./N.-B.	Moncton	Elgin (P)	3	--	--	--	3	
N.B./N.-B.	Moncton	Hillsborough (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Coverdale (P)	21	--	--	1	22	
N.B./N.-B.	Moncton	Riverview (T)	26	20	13	65	124	
N.B./N.-B.	Moncton	Hillsborough (VL)	--	--	--	--	--	
N.B./N.-B.	Moncton	Dorchester (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Dorchester (VL)	--	--	--	--	--	
N.B./N.-B.	Moncton	Memramcook (VL)	10	2	--	--	12	
N.B./N.-B.	Moncton	Moncton (P)	81	--	--	--	81	
N.B./N.-B.	Moncton	Moncton (C)	73	113	12	394	592	
N.B./N.-B.	Moncton	Salisbury (VL)	4	--	4	--	8	
N.B./N.-B.	Moncton	Dieppe (C)	47	34	34	51	166	
N.B./N.-B.	Moncton	Saint Paul (P)	2	--	--	--	2	
N.B./N.-B.	Moncton	Total	269	169	63	511	1,012	
N.B./N.-B.	Saint John	Saint Martins (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
