Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2008								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	207	--	--	--	207	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	74	2	--	--	76	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	9	--	--	--	9	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	16	--	--	--	16	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	70	--	--	12	82	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	10	--	--	--	10	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	--	--	--	--	--	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	297	14	--	36	347	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	403	54	34	122	613	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	49	--	--	4	53	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	2	--	--	--	2	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	25	--	--	--	25	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	5	--	--	--	5	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,167	70	34	174	1,445	
Nfld.Lab./T.-N.-L.	Total	Total	1,167	70	34	174	1,445	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	14	2	--	--	16	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	10	--	--	--	10	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	16	--	--	--	16	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	13	--	--	--	13	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	15	--	--	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	5	--	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	96	34	12	45	187	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	90	4	--	--	94	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	32	6	--	--	38	
P.E.I./Î.-P.-É.	Charlottetown	Total	305	46	12	45	408	
P.E.I./Î.-P.-É.	Total	Total	305	46	12	45	408	
N.S./N.-É.	Halifax	Halifax (RGM)	1,209	124	122	1,427	2,882	
N.S./N.-É.	Halifax	Total	1,209	124	122	1,427	2,882	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	123	53	3	18	197	
N.S./N.-É.	Cape Breton	Total	123	53	3	18	197	
N.S./N.-É.	Total	Total	1,332	177	125	1,445	3,079	
N.B./N.-B.	Moncton	Elgin (P)	3	--	--	--	3	
N.B./N.-B.	Moncton	Hillsborough (P)	2	--	--	--	2	
N.B./N.-B.	Moncton	Coverdale (P)	22	--	--	--	22	
N.B./N.-B.	Moncton	Riverview (T)	77	35	15	96	223	
N.B./N.-B.	Moncton	Hillsborough (VL)	5	--	--	--	5	
N.B./N.-B.	Moncton	Dorchester (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Dorchester (VL)	1	--	--	--	1	
N.B./N.-B.	Moncton	Memramcook (VL)	28	--	--	--	28	
N.B./N.-B.	Moncton	Moncton (P)	53	--	--	--	53	
N.B./N.-B.	Moncton	Moncton (CY)	227	272	2	29	530	
N.B./N.-B.	Moncton	Salisbury (VL)	17	--	--	--	17	
N.B./N.-B.	Moncton	Dieppe (CY)	208	115	25	107	455	
N.B./N.-B.	Moncton	Saint Paul (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Total	645	422	42	232	1,341	
N.B./N.-B.	Saint John	Saint Martins (P)	7	--	--	--	7	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	22	--	--	--	22	
N.B./N.-B.	Saint John	Saint John (CY)	148	40	50	55	293	
N.B./N.-B.	Saint John	Musquash (P)	5	--	--	--	5	
N.B./N.-B.	Saint John	Lepreau (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Petersville (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Upham (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Hampton (P)	6	--	--	--	6	
N.B./N.-B.	Saint John	Hampton (T)	18	3	12	--	33	
N.B./N.-B.	Saint John	Rothesay (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Westfield (P)	7	--	--	--	7	
N.B./N.-B.	Saint John	Kingston (P)	11	--	--	--	11	
N.B./N.-B.	Saint John	Grand Bay-Westfield (T)	20	--	--	7	27	
N.B./N.-B.	Saint John	Greenwich (P)	4	--	--	--	4	
N.B./N.-B.	Saint John	Rothesay (T)	37	2	4	--	43	
N.B./N.-B.	Saint John	Quispamsis (T)	153	8	11	4	176	
N.B./N.-B.	Saint John	Total	445	53	77	66	641	
N.B./N.-B.	Fredericton	Lincoln (P)	90	--	--	--	90	
N.B./N.-B.	Fredericton	Maugerville (P)	16	--	--	2	18	
N.B./N.-B.	Fredericton	New Maryland (P)	21	--	--	--	21	
N.B./N.-B.	Fredericton	New Maryland (VL)	3	--	--	--	3	
N.B./N.-B.	Fredericton	Kingsclear (P)	46	--	--	2	48	
N.B./N.-B.	Fredericton	Bright (P)	29	--	--	--	29	
N.B./N.-B.	Fredericton	Douglas (P)	39	--	--	--	39	
N.B./N.-B.	Fredericton	Saint Marys (P)	39	2	--	--	41	
N.B./N.-B.	Fredericton	Fredericton (CY)	210	11	38	162	421	
N.B./N.-B.	Fredericton	Total	493	13	38	166	710	
N.B./N.-B.	Total	Total	1,583	488	157	464	2,692	
Que/Qc	Saguenay	Saguenay (V)	338	4	18	226	586	
Que/Qc	Saguenay	Saint-Fulgence (MÉ)	10	--	--	--	10	
Que/Qc	Saguenay	Saint-Honoré (MÉ)	32	1	--	1	34	
Que/Qc	Saguenay	Larouche (MÉ)	11	--	--	--	11	
Que/Qc	Saguenay	Total	391	5	18	227	641	
Que/Qc	Montréal	Lavaltrie (V)	60	--	--	47	107	
Que/Qc	Montréal	Richelieu (V)	14	--	--	10	24	
Que/Qc	Montréal	Saint-Mathias-sur-Richelieu (MÉ)	6	16	--	--	22	
Que/Qc	Montréal	Chambly (V)	153	24	2	43	222	
Que/Qc	Montréal	Carignan (V)	46	--	--	--	46	
Que/Qc	Montréal	Saint-Basile-le-Grand (V)	37	--	--	35	72	
Que/Qc	Montréal	McMasterville (MÉ)	5	11	--	21	37	
Que/Qc	Montréal	Otterburn Park (V)	14	--	--	4	18	
Que/Qc	Montréal	Mont-Saint-Hilaire (V)	110	41	--	314	465	
Que/Qc	Montréal	Beloeil (V)	108	43	54	33	238	
Que/Qc	Montréal	Saint-Mathieu-de-Beloeil (MÉ)	19	20	--	--	39	
Que/Qc	Montréal	Brossard (V)	144	45	43	697	929	
Que/Qc	Montréal	Saint-Lambert (V)	--	--	--	3	3	
Que/Qc	Montréal	Boucherville (V)	68	2	--	105	175	
Que/Qc	Montréal	Saint-Bruno-de-Montarville (V)	84	4	28	150	266	
Que/Qc	Montréal	Longueuil (V)	223	37	4	375	639	
Que/Qc	Montréal	Sainte-Julie (V)	42	--	--	33	75	
Que/Qc	Montréal	Saint-Amable (MÉ)	106	48	--	20	174	
Que/Qc	Montréal	Varennes (V)	2	--	--	3	5	
Que/Qc	Montréal	Verchères (MÉ)	35	--	--	--	35	
Que/Qc	Montréal	Charlemagne (V)	--	--	7	39	46	
Que/Qc	Montréal	Repentigny (V)	174	1	--	306	481	
Que/Qc	Montréal	Saint-Sulpice (PE)	1	2	--	--	3	
Que/Qc	Montréal	L'Assomption (V)	155	54	--	70	279	
Que/Qc	Montréal	L'Épiphanie (V)	27	17	13	39	96	
Que/Qc	Montréal	L'Épiphanie (PE)	--	--	--	--	--	
Que/Qc	Montréal	Terrebonne (V)	563	30	7	355	955	
Que/Qc	Montréal	Mascouche (V)	286	32	47	573	938	
Que/Qc	Montréal	Laval (V)	957	201	132	1,966	3,256	
Que/Qc	Montréal	Montréal-Est (V)	--	--	--	--	--	
Que/Qc	Montréal	Montréal (V)	390	106	482	4,812	5,790	
Que/Qc	Montréal	Westmount (V)	3	--	--	1	4	
Que/Qc	Montréal	Montréal-Ouest (V)	--	--	--	--	--	
Que/Qc	Montréal	Côte-Saint-Luc (V)	5	--	--	25	30	
Que/Qc	Montréal	Hampstead (V)	7	--	--	--	7	
Que/Qc	Montréal	Mont-Royal (V)	5	--	--	17	22	
Que/Qc	Montréal	Dorval (CÉ)	7	--	--	6	13	
Que/Qc	Montréal	Île-Dorval (V)	--	--	--	--	--	
Que/Qc	Montréal	Pointe-Claire (V)	7	--	28	124	159	
Que/Qc	Montréal	Kirkland (V)	2	--	10	--	12	
Que/Qc	Montréal	Beaconsfield (V)	21	--	--	75	96	
Que/Qc	Montréal	Baie-d'Urfé (V)	2	--	--	--	2	
Que/Qc	Montréal	Sainte-Anne-de-Bellevue (V)	3	--	--	2	5	
Que/Qc	Montréal	Senneville (VL)	1	--	--	--	1	
Que/Qc	Montréal	Dollard-des-Ormeaux (V)	7	--	18	156	181	
Que/Qc	Montréal	Saint-Mathieu (MÉ)	5	3	--	--	8	
Que/Qc	Montréal	Saint-Philippe (MÉ)	30	2	--	20	52	
Que/Qc	Montréal	La Prairie (V)	97	--	7	8	112	
Que/Qc	Montréal	Candiac (V)	215	35	85	30	365	
Que/Qc	Montréal	Delson (V)	13	2	3	--	18	
Que/Qc	Montréal	Sainte-Catherine (V)	7	35	3	--	45	
Que/Qc	Montréal	Saint-Constant (V)	80	--	4	43	127	
Que/Qc	Montréal	Saint-Isidore (PE)	4	--	--	9	13	
Que/Qc	Montréal	Mercier (V)	111	--	--	31	142	
Que/Qc	Montréal	Châteauguay (V)	168	76	--	192	436	
Que/Qc	Montréal	Léry (V)	1	--	--	--	1	
Que/Qc	Montréal	Beauharnois (V)	29	6	--	42	77	
Que/Qc	Montréal	Saint-Zotique (VL)	130	--	--	54	184	
Que/Qc	Montréal	Les Coteaux (MÉ)	36	--	43	8	87	
Que/Qc	Montréal	Coteau-du-Lac (MÉ)	36	--	--	14	50	
Que/Qc	Montréal	Les Cèdres (MÉ)	26	16	--	--	42	
Que/Qc	Montréal	Pointe-des-Cascades (VL)	13	--	--	6	19	
Que/Qc	Montréal	L'Île-Perrot (V)	--	--	2	37	39	
Que/Qc	Montréal	Notre-Dame-de-l'Île-Perrot (V)	61	--	--	29	90	
Que/Qc	Montréal	Pincourt (V)	195	2	108	36	341	
Que/Qc	Montréal	Terrasse-Vaudreuil (MÉ)	--	--	--	--	--	
Que/Qc	Montréal	Vaudreuil-Dorion (V)	287	52	4	122	465	
Que/Qc	Montréal	Vaudreuil-sur-le-Lac (VL)	5	--	--	--	5	
Que/Qc	Montréal	L'Île-Cadieux (V)	--	--	--	--	--	
Que/Qc	Montréal	Hudson (V)	18	--	--	--	18	
Que/Qc	Montréal	Saint-Lazare (V)	165	--	--	15	180	
Que/Qc	Montréal	Saint-Eustache (V)	120	--	4	146	270	
Que/Qc	Montréal	Deux-Montagnes (V)	15	--	11	14	40	
Que/Qc	Montréal	Sainte-Marthe-sur-le-Lac (V)	226	--	9	169	404	
Que/Qc	Montréal	Pointe-Calumet (MÉ)	44	--	--	2	46	
Que/Qc	Montréal	Saint-Joseph-du-Lac (MÉ)	29	--	--	29	58	
Que/Qc	Montréal	Oka (MÉ)	27	--	--	--	27	
