Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2011								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	238	--	10	--	248	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	90	2	--	--	92	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	26	--	--	--	26	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	22	--	--	--	22	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	69	--	--	2	71	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	14	--	--	--	14	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	5	--	--	--	5	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	340	--	--	90	430	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	458	8	25	291	782	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	69	--	12	2	83	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	7	--	--	--	7	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	25	--	--	--	25	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	29	--	--	--	29	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,392	10	47	385	1,834	
Nfld.Lab./T.-N.-L.	Total	Total	1,392	10	47	385	1,834	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	9	--	--	--	9	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	8	--	--	--	8	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	12	--	--	--	12	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	5	--	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	5	--	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	9	--	8	8	25	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	59	28	3	151	241	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	54	7	25	56	142	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	27	--	--	--	27	
P.E.I./Î.-P.-É.	Charlottetown	Total	201	35	36	215	487	
P.E.I./Î.-P.-É.	Total	Total	201	35	36	215	487	
N.S./N.-É.	Halifax	Halifax (RGM)	903	175	134	693	1,905	
N.S./N.-É.	Halifax	Total	903	175	134	693	1,905	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	134	76	4	--	214	
N.S./N.-É.	Cape Breton	Total	134	76	4	--	214	
N.S./N.-É.	Total	Total	1,037	251	138	693	2,119	
N.B./N.-B.	Moncton	Elgin (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Hillsborough (P)	4	--	--	--	4	
N.B./N.-B.	Moncton	Coverdale (P)	15	--	--	--	15	
N.B./N.-B.	Moncton	Riverview (T)	38	24	--	48	110	
N.B./N.-B.	Moncton	Hillsborough (VL)	1	--	--	--	1	
N.B./N.-B.	Moncton	Dorchester (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Dorchester (VL)	--	--	--	--	--	
N.B./N.-B.	Moncton	Memramcook (VL)	10	--	--	--	10	
N.B./N.-B.	Moncton	Moncton (P)	99	--	--	4	103	
N.B./N.-B.	Moncton	Moncton (CY)	121	161	10	105	397	
N.B./N.-B.	Moncton	Salisbury (VL)	9	--	8	4	21	
N.B./N.-B.	Moncton	Dieppe (CY)	136	163	52	36	387	
N.B./N.-B.	Moncton	Saint Paul (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Total	434	348	70	197	1,049	
N.B./N.-B.	Saint John	Saint Martins (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	8	--	--	--	8	
N.B./N.-B.	Saint John	Saint John (CY)	49	16	28	36	129	
N.B./N.-B.	Saint John	Musquash (P)	5	--	--	--	5	
N.B./N.-B.	Saint John	Lepreau (P)	4	--	--	--	4	
N.B./N.-B.	Saint John	Petersville (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Upham (P)	4	--	--	--	4	
N.B./N.-B.	Saint John	Hampton (P)	11	--	--	--	11	
N.B./N.-B.	Saint John	Hampton (T)	15	3	3	--	21	
N.B./N.-B.	Saint John	Rothesay (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Westfield (P)	8	--	--	--	8	
N.B./N.-B.	Saint John	Kingston (P)	9	--	--	2	11	
N.B./N.-B.	Saint John	Grand Bay-Westfield (T)	9	--	3	--	12	
N.B./N.-B.	Saint John	Greenwich (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Rothesay (T)	25	2	4	--	31	
N.B./N.-B.	Saint John	Quispamsis (T)	101	3	7	23	134	
N.B./N.-B.	Saint John	Total	255	24	45	61	385	
N.B./N.-B.	Fredericton	Lincoln (P)	94	--	--	--	94	
N.B./N.-B.	Fredericton	Maugerville (P)	8	--	--	--	8	
N.B./N.-B.	Fredericton	New Maryland (P)	15	--	--	--	15	
N.B./N.-B.	Fredericton	New Maryland (VL)	2	--	--	--	2	
N.B./N.-B.	Fredericton	Kingsclear (P)	27	--	--	--	27	
N.B./N.-B.	Fredericton	Bright (P)	11	--	--	--	11	
N.B./N.-B.	Fredericton	Douglas (P)	33	--	--	--	33	
N.B./N.-B.	Fredericton	Saint Marys (P)	23	--	--	--	23	
N.B./N.-B.	Fredericton	Fredericton (CY)	108	10	68	205	391	
N.B./N.-B.	Fredericton	Total	321	10	68	205	604	
N.B./N.-B.	Total	Total	1,010	382	183	463	2,038	
Que/Qc	Saguenay	Saguenay (V)	354	72	21	194	641	
Que/Qc	Saguenay	Saint-Fulgence (MÉ)	3	--	--	--	3	
Que/Qc	Saguenay	Saint-Honoré (MÉ)	61	1	--	6	68	
Que/Qc	Saguenay	Larouche (MÉ)	22	--	--	--	22	
Que/Qc	Saguenay	Total	440	73	21	200	734	
Que/Qc	Montréal	Lavaltrie (V)	36	2	4	40	82	
Que/Qc	Montréal	Richelieu (V)	10	--	--	2	12	
Que/Qc	Montréal	Saint-Mathias-sur-Richelieu (MÉ)	7	--	--	--	7	
Que/Qc	Montréal	Chambly (V)	183	35	--	165	383	
Que/Qc	Montréal	Carignan (V)	22	--	--	--	22	
Que/Qc	Montréal	Saint-Basile-le-Grand (V)	11	--	3	33	47	
Que/Qc	Montréal	McMasterville (MÉ)	--	--	--	6	6	
Que/Qc	Montréal	Otterburn Park (V)	10	--	--	11	21	
Que/Qc	Montréal	Mont-Saint-Hilaire (V)	54	15	20	32	121	
Que/Qc	Montréal	Beloeil (V)	93	26	26	79	224	
Que/Qc	Montréal	Saint-Mathieu-de-Beloeil (MÉ)	1	--	--	--	1	
Que/Qc	Montréal	Brossard (V)	142	125	88	681	1,036	
Que/Qc	Montréal	Saint-Lambert (V)	1	--	--	9	10	
Que/Qc	Montréal	Boucherville (V)	25	58	11	188	282	
Que/Qc	Montréal	Saint-Bruno-de-Montarville (V)	63	1	12	45	121	
Que/Qc	Montréal	Longueuil (V)	244	100	57	1,119	1,520	
Que/Qc	Montréal	Sainte-Julie (V)	3	--	--	114	117	
Que/Qc	Montréal	Saint-Amable (MÉ)	60	57	--	42	159	
Que/Qc	Montréal	Varennes (V)	41	14	--	--	55	
Que/Qc	Montréal	Verchères (MÉ)	10	15	--	9	34	
Que/Qc	Montréal	Charlemagne (V)	2	--	--	44	46	
Que/Qc	Montréal	Repentigny (V)	285	6	--	223	514	
Que/Qc	Montréal	Saint-Sulpice (PE)	--	--	--	9	9	
Que/Qc	Montréal	L'Assomption (V)	141	36	--	26	203	
Que/Qc	Montréal	L'Épiphanie (V)	14	19	--	19	52	
Que/Qc	Montréal	L'Épiphanie (PE)	6	--	--	--	6	
Que/Qc	Montréal	Terrebonne (V)	322	11	72	190	595	
Que/Qc	Montréal	Mascouche (V)	190	5	16	499	710	
Que/Qc	Montréal	Laval (V)	538	92	123	1,327	2,080	
Que/Qc	Montréal	Montréal-Est (V)	--	--	--	18	18	
Que/Qc	Montréal	Montréal (V)	244	230	233	4,257	4,964	
Que/Qc	Montréal	Westmount (V)	2	--	--	--	2	
Que/Qc	Montréal	Montréal-Ouest (V)	--	--	--	--	--	
Que/Qc	Montréal	Côte-Saint-Luc (V)	4	--	3	3	10	
Que/Qc	Montréal	Hampstead (V)	--	--	--	--	--	
Que/Qc	Montréal	Mont-Royal (V)	5	--	1	190	196	
Que/Qc	Montréal	Dorval (CÉ)	13	--	13	187	213	
Que/Qc	Montréal	Île-Dorval (V)	--	--	--	--	--	
Que/Qc	Montréal	Pointe-Claire (V)	2	--	--	18	20	
Que/Qc	Montréal	Kirkland (V)	3	--	2	--	5	
Que/Qc	Montréal	Beaconsfield (V)	14	--	--	--	14	
Que/Qc	Montréal	Baie-d'Urfé (V)	4	--	--	--	4	
Que/Qc	Montréal	Sainte-Anne-de-Bellevue (V)	--	--	--	--	--	
Que/Qc	Montréal	Senneville (VL)	--	--	--	--	--	
Que/Qc	Montréal	Dollard-des-Ormeaux (V)	4	--	--	193	197	
Que/Qc	Montréal	Saint-Mathieu (MÉ)	3	8	--	--	11	
Que/Qc	Montréal	Saint-Philippe (MÉ)	9	5	--	6	20	
Que/Qc	Montréal	La Prairie (V)	38	1	14	122	175	
Que/Qc	Montréal	Candiac (V)	41	25	55	16	137	
Que/Qc	Montréal	Delson (V)	4	--	3	9	16	
Que/Qc	Montréal	Sainte-Catherine (V)	9	41	6	50	106	
Que/Qc	Montréal	Saint-Constant (V)	28	49	15	71	163	
Que/Qc	Montréal	Saint-Isidore (PE)	4	--	3	6	13	
Que/Qc	Montréal	Mercier (V)	67	35	--	21	123	
Que/Qc	Montréal	Châteauguay (V)	155	14	--	160	329	
Que/Qc	Montréal	Léry (V)	1	--	--	--	1	
Que/Qc	Montréal	Beauharnois (V)	38	17	--	46	101	
Que/Qc	Montréal	Saint-Zotique (MÉ)	72	10	--	8	90	
Que/Qc	Montréal	Les Coteaux (MÉ)	20	4	5	24	53	
