Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2014								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	210	2	4	--	216	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	75	--	--	--	75	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	19	--	--	--	19	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	25	--	--	--	25	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	41	--	--	4	45	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	20	--	--	--	20	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	6	--	--	--	6	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	244	--	--	133	377	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	391	5	7	175	578	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	62	--	--	2	64	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	3	--	--	--	3	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	19	--	--	--	19	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	28	--	--	--	28	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,143	7	11	314	1,475	
Nfld.Lab./T.-N.-L.	Total	Total	1,143	7	11	314	1,475	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	2	2	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	5	--	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	4	2	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 23 (LOT)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	10	2	3	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	0	--	--	--	0	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	43	14	4	138	199	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	37	0	--	24	61	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	13	2	4	--	19	
P.E.I./Î.-P.-É.	Charlottetown	Total	137	22	11	162	332	
P.E.I./Î.-P.-É.	Total	Total	137	22	11	162	332	
N.S./N.-É.	Halifax	Halifax (RGM)	599	115	110	1,032	1,856	
N.S./N.-É.	Halifax	Total	599	115	110	1,032	1,856	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	92	61	3	--	156	
N.S./N.-É.	Cape Breton	Total	92	61	3	--	156	
N.S./N.-É.	Total	Total	691	176	113	1,032	2,012	
N.B./N.-B.	Moncton	Elgin (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Hillsborough (P)	5	--	--	--	5	
N.B./N.-B.	Moncton	Coverdale (P)	16	--	--	--	16	
N.B./N.-B.	Moncton	Riverview (T)	29	20	10	119	178	
N.B./N.-B.	Moncton	Hillsborough (VL)	1	1	--	--	2	
N.B./N.-B.	Moncton	Dorchester (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Dorchester (VL)	1	--	--	--	1	
N.B./N.-B.	Moncton	Memramcook (VL)	4	3	--	--	7	
N.B./N.-B.	Moncton	Moncton (P)	64	--	--	2	66	
N.B./N.-B.	Moncton	Moncton (C)	100	191	8	164	463	
N.B./N.-B.	Moncton	Salisbury (VL)	7	--	--	--	7	
N.B./N.-B.	Moncton	Dieppe (C)	54	36	18	84	192	
N.B./N.-B.	Moncton	Saint Paul (P)	2	--	--	--	2	
N.B./N.-B.	Moncton	Total	285	251	36	369	941	
N.B./N.-B.	Saint John	Saint Martins (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Saint John (CY)	25	18	12	111	166	
N.B./N.-B.	Saint John	Musquash (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Lepreau (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Petersville (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Upham (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Hampton (P)	9	--	--	--	9	
N.B./N.-B.	Saint John	Hampton (T)	18	1	--	--	19	
N.B./N.-B.	Saint John	Rothesay (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Westfield (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Kingston (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Grand Bay-Westfield (TV)	9	--	--	--	9	
N.B./N.-B.	Saint John	Greenwich (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Rothesay (TV)	26	3	4	27	60	
N.B./N.-B.	Saint John	Quispamsis (TV)	64	1	--	--	65	
N.B./N.-B.	Saint John	Total	154	23	16	138	331	
N.B./N.-B.	Fredericton	Gladstone (P)	2	--	--	--	2	
N.B./N.-B.	Fredericton	Lincoln (P)	69	--	--	--	69	
