Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2015								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	159	9	2	3	173	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	62	--	--	--	62	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	8	--	--	--	8	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	24	--	--	--	24	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	47	2	--	3	52	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	20	--	--	--	20	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	4	--	--	--	4	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	174	--	--	69	243	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	291	3	18	291	603	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	50	--	9	22	81	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	--	--	--	--	--	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	17	--	10	--	27	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	15	--	--	--	15	
Nfld.Lab./T.-N.-L.	St. John's	Total	871	14	39	388	1,312	
Nfld.Lab./T.-N.-L.	Total	Total	871	14	39	388	1,312	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 23 (LOT)	1	--	--	--	1	
