Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2013								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	212	1	7	--	220	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	66	--	--	--	66	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	25	--	--	--	25	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	37	--	--	--	37	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	51	--	--	9	60	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	17	--	--	--	17	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	4	--	--	--	4	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	318	6	--	111	435	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	512	4	30	363	909	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	71	2	6	4	83	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	4	--	4	--	8	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	16	--	--	--	16	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	40	--	--	--	40	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,373	13	47	487	1,920	
Nfld.Lab./T.-N.-L.	Total	Total	1,373	13	47	487	1,920	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	9	--	--	--	9	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	4	2	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	--	2	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	1	4	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Lot 23 (LOT)	8	--	--	--	8	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	12	--	--	--	12	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	7	2	--	8	17	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	4	--	6	--	10	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	59	45	4	179	287	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	51	16	27	36	130	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	13	10	13	--	36	
P.E.I./Î.-P.-É.	Charlottetown	Total	179	81	50	223	533	
P.E.I./Î.-P.-É.	Total	Total	179	81	50	223	533	
N.S./N.-É.	Halifax	Halifax (RGM)	909	127	148	1,881	3,065	
N.S./N.-É.	Halifax	Total	909	127	148	1,881	3,065	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	124	92	27	34	277	
N.S./N.-É.	Cape Breton	Total	124	92	27	34	277	
N.S./N.-É.	Total	Total	1,033	219	175	1,915	3,342	
N.B./N.-B.	Moncton	Elgin (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Hillsborough (P)	2	--	--	--	2	
N.B./N.-B.	Moncton	Coverdale (P)	13	2	--	--	15	
N.B./N.-B.	Moncton	Riverview (T)	34	30	4	120	188	
N.B./N.-B.	Moncton	Hillsborough (VL)	4	1	--	--	5	
N.B./N.-B.	Moncton	Dorchester (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Dorchester (VL)	--	--	--	--	--	
N.B./N.-B.	Moncton	Memramcook (VL)	17	--	--	--	17	
N.B./N.-B.	Moncton	Moncton (P)	61	2	--	2	65	
N.B./N.-B.	Moncton	Moncton (C)	115	208	--	514	837	
N.B./N.-B.	Moncton	Salisbury (VL)	5	--	--	--	5	
N.B./N.-B.	Moncton	Dieppe (C)	61	54	23	238	376	
N.B./N.-B.	Moncton	Saint Paul (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Total	313	297	27	874	1,511	
N.B./N.-B.	Saint John	Saint Martins (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	6	--	--	--	6	
N.B./N.-B.	Saint John	Saint John (CY)	43	14	14	58	129	
N.B./N.-B.	Saint John	Musquash (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Lepreau (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Petersville (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Upham (P)	4	--	--	--	4	
N.B./N.-B.	Saint John	Hampton (P)	8	--	--	--	8	
N.B./N.-B.	Saint John	Hampton (T)	12	5	1	--	18	
N.B./N.-B.	Saint John	Rothesay (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Westfield (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Kingston (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Grand Bay-Westfield (TV)	8	--	4	--	12	
N.B./N.-B.	Saint John	Greenwich (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Rothesay (TV)	22	1	--	--	23	
N.B./N.-B.	Saint John	Quispamsis (TV)	47	5	2	1	55	
N.B./N.-B.	Saint John	Total	160	25	21	59	265	
N.B./N.-B.	Fredericton	Gladstone (P)	--	--	--	--	--	
N.B./N.-B.	Fredericton	Lincoln (P)	98	--	--	--	98	
N.B./N.-B.	Fredericton	Maugerville (P)	9	--	--	--	9	
N.B./N.-B.	Fredericton	New Maryland (P)	19	--	--	--	19	
N.B./N.-B.	Fredericton	New Maryland (VL)	7	--	--	--	7	
N.B./N.-B.	Fredericton	Kingsclear (P)	33	--	--	--	33	
N.B./N.-B.	Fredericton	Bright (P)	18	--	--	--	18	
N.B./N.-B.	Fredericton	Douglas (P)	23	--	--	--	23	
N.B./N.-B.	Fredericton	Saint Marys (P)	32	--	--	--	32	
N.B./N.-B.	Fredericton	Fredericton (CY)	102	17	71	306	496	
N.B./N.-B.	Fredericton	Total	341	17	71	306	735	
N.B./N.-B.	Total	Total	814	339	119	1,239	2,511	
Que/Qc	Saguenay	Saguenay (V)	267	192	44	336	839	
Que/Qc	Saguenay	Saint-Félix-d'Otis (MÉ)	4	--	--	--	4	
Que/Qc	Saguenay	Sainte-Rose-du-Nord (PE)	1	--	--	--	1	
Que/Qc	Saguenay	Saint-Fulgence (MÉ)	7	--	--	--	7	
Que/Qc	Saguenay	Saint-Honoré (MÉ)	75	5	--	21	101	
Que/Qc	Saguenay	Saint-David-de-Falardeau (MÉ)	11	--	--	--	11	
Que/Qc	Saguenay	Saint-Charles-de-Bourget (MÉ)	4	--	--	--	4	
Que/Qc	Saguenay	Larouche (MÉ)	10	--	--	3	13	
Que/Qc	Saguenay	Total	379	197	44	360	980	
Que/Qc	Montréal	Lavaltrie (V)	30	--	2	53	85	
Que/Qc	Montréal	Richelieu (V)	4	--	--	--	4	
Que/Qc	Montréal	Saint-Mathias-sur-Richelieu (MÉ)	14	--	--	6	20	
Que/Qc	Montréal	Chambly (V)	138	52	6	144	340	
Que/Qc	Montréal	Carignan (V)	52	20	--	17	89	
Que/Qc	Montréal	Saint-Basile-le-Grand (V)	16	--	--	57	73	
Que/Qc	Montréal	McMasterville (MÉ)	1	5	--	2	8	
Que/Qc	Montréal	Otterburn Park (V)	10	--	--	5	15	
Que/Qc	Montréal	Mont-Saint-Hilaire (V)	28	--	14	53	95	
Que/Qc	Montréal	Beloeil (V)	40	3	30	17	90	
Que/Qc	Montréal	Saint-Mathieu-de-Beloeil (MÉ)	11	--	--	6	17	
Que/Qc	Montréal	Brossard (V)	70	50	34	473	627	
Que/Qc	Montréal	Saint-Lambert (V)	--	--	--	19	19	
Que/Qc	Montréal	Boucherville (V)	20	5	3	51	79	
Que/Qc	Montréal	Saint-Bruno-de-Montarville (V)	32	5	1	30	68	
Que/Qc	Montréal	Longueuil (V)	128	43	10	698	879	
Que/Qc	Montréal	Sainte-Julie (V)	4	--	--	24	28	
Que/Qc	Montréal	Saint-Amable (MÉ)	41	21	--	34	96	
Que/Qc	Montréal	Varennes (V)	13	15	2	155	185	
Que/Qc	Montréal	Verchères (MÉ)	10	--	--	4	14	
Que/Qc	Montréal	Charlemagne (V)	1	--	--	15	16	
Que/Qc	Montréal	Repentigny (V)	117	8	--	75	200	
Que/Qc	Montréal	Saint-Sulpice (PE)	4	2	--	29	35	
Que/Qc	Montréal	L'Assomption (V)	118	28	5	80	231	
Que/Qc	Montréal	L'Épiphanie (V)	15	2	31	7	55	
Que/Qc	Montréal	L'Épiphanie (PE)	7	--	--	--	7	
Que/Qc	Montréal	Terrebonne (V)	139	15	30	262	446	
Que/Qc	Montréal	Mascouche (V)	106	4	--	267	377	
Que/Qc	Montréal	Laval (V)	257	74	128	1,329	1,788	
Que/Qc	Montréal	Montréal-Est (V)	--	--	--	2	2	
Que/Qc	Montréal	Montréal (V)	134	91	163	5,553	5,941	
Que/Qc	Montréal	Westmount (V)	4	--	--	20	24	
Que/Qc	Montréal	Montréal-Ouest (V)	--	--	--	--	--	
Que/Qc	Montréal	Côte-Saint-Luc (V)	9	9	29	4	51	
Que/Qc	Montréal	Hampstead (V)	3	--	--	--	3	
Que/Qc	Montréal	Mont-Royal (V)	--	--	--	56	56	
Que/Qc	Montréal	Dorval (V)	7	2	--	81	90	
Que/Qc	Montréal	Île-Dorval (V)	--	--	--	--	--	
Que/Qc	Montréal	Pointe-Claire (V)	9	7	10	32	58	
Que/Qc	Montréal	Kirkland (V)	0	--	1	--	1	
Que/Qc	Montréal	Beaconsfield (V)	19	--	3	--	22	
Que/Qc	Montréal	Baie-d'Urfé (V)	4	--	--	--	4	
Que/Qc	Montréal	Sainte-Anne-de-Bellevue (V)	1	1	--	--	2	
Que/Qc	Montréal	Senneville (VL)	--	--	--	--	--	
Que/Qc	Montréal	Dollard-des-Ormeaux (V)	2	--	22	44	68	
Que/Qc	Montréal	Saint-Mathieu (MÉ)	6	--	--	--	6	
Que/Qc	Montréal	Saint-Philippe (MÉ)	14	4	6	56	80	
Que/Qc	Montréal	La Prairie (V)	21	--	2	84	107	
Que/Qc	Montréal	Candiac (V)	21	13	18	23	75	
Que/Qc	Montréal	Delson (V)	--	--	--	3	3	
Que/Qc	Montréal	Sainte-Catherine (V)	6	9	--	7	22	
Que/Qc	Montréal	Saint-Constant (V)	56	40	27	115	238	
Que/Qc	Montréal	Saint-Isidore (PE)	1	--	--	--	1	
Que/Qc	Montréal	Mercier (V)	68	27	--	7	102	
Que/Qc	Montréal	Châteauguay (V)	73	25	23	82	203	
Que/Qc	Montréal	Léry (V)	8	--	--	--	8	
Que/Qc	Montréal	Beauharnois (V)	16	8	--	50	74	
Que/Qc	Montréal	Saint-Zotique (MÉ)	51	15	17	24	107	
Que/Qc	Montréal	Les Coteaux (MÉ)	8	2	13	71	94	
Que/Qc	Montréal	Coteau-du-Lac (V)	12	--	--	3	15	
Que/Qc	Montréal	Les Cèdres (MÉ)	12	11	--	22	45	
Que/Qc	Montréal	Pointe-des-Cascades (VL)	1	--	--	0	1	
Que/Qc	Montréal	L'Île-Perrot (V)	4	3	5	24	36	
Que/Qc	Montréal	Notre-Dame-de-l'Île-Perrot (V)	23	--	--	--	23	
Que/Qc	Montréal	Pincourt (V)	3	--	30	13	46	
Que/Qc	Montréal	Terrasse-Vaudreuil (MÉ)	1	--	--	--	1	
Que/Qc	Montréal	Vaudreuil-Dorion (V)	63	43	46	213	365	
Que/Qc	Montréal	Vaudreuil-sur-le-Lac (VL)	5	--	--	--	5	
Que/Qc	Montréal	L'Île-Cadieux (V)	--	--	--	--	--	
Que/Qc	Montréal	Hudson (V)	23	6	--	11	40	
Que/Qc	Montréal	Saint-Lazare (V)	51	--	--	--	51	
Que/Qc	Montréal	Saint-Eustache (V)	19	4	--	58	81	
Que/Qc	Montréal	Deux-Montagnes (V)	12	--	--	10	22	
Que/Qc	Montréal	Sainte-Marthe-sur-le-Lac (V)	73	28	5	51	157	
Que/Qc	Montréal	Pointe-Calumet (MÉ)	15	--	--	2	17	
Que/Qc	Montréal	Saint-Joseph-du-Lac (MÉ)	34	--	--	15	49	
Que/Qc	Montréal	Oka (MÉ)	20	--	--	9	29	
Que/Qc	Montréal	Saint-Placide (MÉ)	3	2	--	2	7	
Que/Qc	Montréal	Boisbriand (V)	4	--	28	12	44	
Que/Qc	Montréal	Sainte-Thérèse (V)	2	--	--	34	36	
Que/Qc	Montréal	Blainville (V)	124	3	--	108	235	
Que/Qc	Montréal	Rosemère (V)	18	--	--	--	18	
Que/Qc	Montréal	Lorraine (V)	7	--	--	--	7	
Que/Qc	Montréal	Bois-des-Filion (V)	3	4	6	46	59	
Que/Qc	Montréal	Sainte-Anne-des-Plaines (V)	14	0	--	65	79	
Que/Qc	Montréal	Mirabel (V)	396	23	38	398	855	
Que/Qc	Montréal	Saint-Colomban (V)	200	--	--	28	228	
Que/Qc	Montréal	Saint-Jérôme (V)	242	42	36	401	721	
Que/Qc	Montréal	Gore (CT)	23	--	--	--	23	
Que/Qc	Montréal	Total	3,374	774	824	11,751	16,723	
Que/Qc	Gatineau	Mayo (MÉ)	5	--	--	--	5	
Que/Qc	Gatineau	Val-des-Bois (MÉ)	1	--	--	--	1	
Que/Qc	Gatineau	Bowman (MÉ)	3	--	--	--	3	
Que/Qc	Gatineau	Gatineau (V)	209	246	216	985	1,656	
Que/Qc	Gatineau	L'Ange-Gardien (MÉ)	35	--	--	2	37	
Que/Qc	Gatineau	Notre-Dame-de-la-Salette (MÉ)	3	--	--	--	3	
Que/Qc	Gatineau	Val-des-Monts (MÉ)	82	31	--	5	118	
Que/Qc	Gatineau	Cantley (MÉ)	94	--	--	5	99	
Que/Qc	Gatineau	Chelsea (MÉ)	20	--	--	--	20	
Que/Qc	Gatineau	Pontiac (MÉ)	23	--	--	2	25	
Que/Qc	Gatineau	La Pêche (MÉ)	43	4	--	2	49	
Que/Qc	Gatineau	Denholm (MÉ)	4	--	--	--	4	
Que/Qc	Gatineau	Total	522	281	216	1,001	2,020	
Que/Qc	Québec	Saint-Henri (MÉ)	22	8	1	12	43	
Que/Qc	Québec	Beaumont (MÉ)	8	11	6	39	64	
Que/Qc	Québec	Saint-François-de-L'île-d'Orléans (MÉ)	2	--	--	--	2	
Que/Qc	Québec	Sainte-Famille (PE)	3	--	--	--	3	
Que/Qc	Québec	Saint-Jean-de-l'Île-d'Orléans (MÉ)	4	--	--	--	4	
Que/Qc	Québec	Saint-Laurent-de-l'Île-d'Orléans (MÉ)	3	--	--	--	3	
Que/Qc	Québec	Saint-Pierre-de-l'Île-d'Orléans (MÉ)	1	--	--	--	1	
Que/Qc	Québec	Sainte-Pétronille (VL)	--	--	--	--	--	
Que/Qc	Québec	Château-Richer (V)	19	4	--	--	23	
Que/Qc	Québec	L'Ange-Gardien (MÉ)	10	2	--	6	18	
Que/Qc	Québec	Boischatel (MÉ)	51	--	--	99	150	
Que/Qc	Québec	Sainte-Catherine-de-la-Jacques-Cartier (V)	80	18	1	21	120	
Que/Qc	Québec	Fossambault-sur-le-Lac (V)	30	7	--	5	42	
